nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perkotaan;2002;Tahunan;-;ACEH
"Gini Rasio";Perkotaan;2002;Tahunan;0.3;"SUMATERA UTARA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.282;"SUMATERA BARAT"
"Gini Rasio";Perkotaan;2002;Tahunan;0.3;RIAU
"Gini Rasio";Perkotaan;2002;Tahunan;0.269;JAMBI
"Gini Rasio";Perkotaan;2002;Tahunan;0.313;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan;2002;Tahunan;0.265;BENGKULU
"Gini Rasio";Perkotaan;2002;Tahunan;0.294;LAMPUNG
"Gini Rasio";Perkotaan;2002;Tahunan;0.279;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan;2002;Tahunan;-;"KEP. RIAU"
"Gini Rasio";Perkotaan;2002;Tahunan;0.38;"DKI JAKARTA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.305;"JAWA BARAT"
"Gini Rasio";Perkotaan;2002;Tahunan;0.304;"JAWA TENGAH"
"Gini Rasio";Perkotaan;2002;Tahunan;0.39;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.325;"JAWA TIMUR"
"Gini Rasio";Perkotaan;2002;Tahunan;0.305;BANTEN
"Gini Rasio";Perkotaan;2002;Tahunan;0.302;BALI
"Gini Rasio";Perkotaan;2002;Tahunan;0.306;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan;2002;Tahunan;0.311;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan;2002;Tahunan;0.341;"KALIMANTAN BARAT"
"Gini Rasio";Perkotaan;2002;Tahunan;0.268;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan;2002;Tahunan;0.273;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan;2002;Tahunan;0.32;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan;2002;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.24;"SULAWESI UTARA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.294;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan;2002;Tahunan;0.291;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan;2002;Tahunan;0.273;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan;2002;Tahunan;0.265;GORONTALO
"Gini Rasio";Perkotaan;2002;Tahunan;-;"SULAWESI BARAT"
"Gini Rasio";Perkotaan;2002;Tahunan;-;MALUKU
"Gini Rasio";Perkotaan;2002;Tahunan;-;"MALUKU UTARA"
